atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2012;Metales pesados;10,0;Agricultura;Cr;kg;0.00
2012;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cr;kg;0.00
2012;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cu;kg;3.90
2012;Metales pesados;2,0;Plantas de combustión no industrial;Cu;kg;115.13
2012;Metales pesados;3,0;Plantas de combustión industrial;Cu;kg;61.11
2012;Metales pesados;4,0;Procesos industriales sin combustión;Cu;kg;4.06
2012;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cu;kg;0.00
2012;Metales pesados;6,0;Uso de disolventes y otros productos;Cu;kg;37.66
2012;Metales pesados;7,0;Transporte por carretera;Cu;kg;13328.08
2012;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cu;kg;105.02
2012;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cu;kg;17.20
2012;Metales pesados;10,0;Agricultura;Cu;kg;0.00
2012;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cu;kg;0.00
2012;Metales pesados;1,0;Combustión en la producción y transformación de energía;Hg;kg;0.61
2012;Metales pesados;2,0;Plantas de combustión no industrial;Hg;kg;22.39
2012;Metales pesados;3,0;Plantas de combustión industrial;Hg;kg;21.85
2012;Metales pesados;4,0;Procesos industriales sin combustión;Hg;kg;15.12
2012;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Hg;kg;0.00
2012;Metales pesados;6,0;Uso de disolventes y otros productos;Hg;kg;25.89
2012;Metales pesados;7,0;Transporte por carretera;Hg;kg;21.39
2012;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Hg;kg;4.68
2012;Metales pesados;9,0;Tratamiento y eliminación de residuos;Hg;kg;32.53
2012;Metales pesados;10,0;Agricultura;Hg;kg;0.00
2012;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Hg;kg;0.00
2012;Metales pesados;1,0;Combustión en la producción y transformación de energía;Ni;kg;1.32
2012;Metales pesados;2,0;Plantas de combustión no industrial;Ni;kg;3130.53
2012;Metales pesados;3,0;Plantas de combustión industrial;Ni;kg;619.50
2012;Metales pesados;4,0;Procesos industriales sin combustión;Ni;kg;81.62
2012;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Ni;kg;0.00
2012;Metales pesados;6,0;Uso de disolventes y otros productos;Ni;kg;18.72
2012;Metales pesados;7,0;Transporte por carretera;Ni;kg;281.91
2012;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Ni;kg;3.80
2012;Metales pesados;9,0;Tratamiento y eliminación de residuos;Ni;kg;9.06
2012;Metales pesados;10,0;Agricultura;Ni;kg;0.00
2012;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Ni;kg;0.00
2012;Metales pesados;1,0;Combustión en la producción y transformación de energía;Pb;kg;17.54
2012;Metales pesados;2,0;Plantas de combustión no industrial;Pb;kg;558.44
2012;Metales pesados;3,0;Plantas de combustión industrial;Pb;kg;201.26
2012;Metales pesados;4,0;Procesos industriales sin combustión;Pb;kg;298.42
2012;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Pb;kg;0.00
2012;Metales pesados;6,0;Uso de disolventes y otros productos;Pb;kg;0.43
2012;Metales pesados;7,0;Transporte por carretera;Pb;kg;3797.01
2012;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Pb;kg;327.31
2012;Metales pesados;9,0;Tratamiento y eliminación de residuos;Pb;kg;40.18
2012;Metales pesados;10,0;Agricultura;Pb;kg;0.00
2012;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Pb;kg;0.00
2012;Metales pesados;1,0;Combustión en la producción y transformación de energía;Se;kg;0.43
2012;Metales pesados;2,0;Plantas de combustión no industrial;Se;kg;7.87
2012;Metales pesados;3,0;Plantas de combustión industrial;Se;kg;16.93
2012;Metales pesados;4,0;Procesos industriales sin combustión;Se;kg;0.00
2012;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Se;kg;0.00
2012;Metales pesados;6,0;Uso de disolventes y otros productos;Se;kg;0.00
2012;Metales pesados;7,0;Transporte por carretera;Se;kg;40.40
2012;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Se;kg;0.72
2012;Metales pesados;9,0;Tratamiento y eliminación de residuos;Se;kg;4.80
2012;Metales pesados;10,0;Agricultura;Se;kg;0.00
2012;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Se;kg;0.00
2012;Metales pesados;1,0;Combustión en la producción y transformación de energía;Zn;kg;333.49
2012;Metales pesados;2,0;Plantas de combustión no industrial;Zn;kg;2473.72
2012;Metales pesados;3,0;Plantas de combustión industrial;Zn;kg;2245.84
2012;Metales pesados;4,0;Procesos industriales sin combustión;Zn;kg;458.01
2012;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Zn;kg;0.00
2012;Metales pesados;6,0;Uso de disolventes y otros productos;Zn;kg;18.85
2012;Metales pesados;7,0;Transporte por carretera;Zn;kg;6580.44
2012;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Zn;kg;91.35
2012;Metales pesados;9,0;Tratamiento y eliminación de residuos;Zn;kg;733.62
2012;Metales pesados;10,0;Agricultura;Zn;kg;0.00
2012;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Zn;kg;0.00
2012;Partículas;1,0;Combustión en la producción y transformación de energía;PM2,5;t;92.46
2012;Partículas;2,0;Plantas de combustión no industrial;PM2,5;t;2422.79
2012;Partículas;3,0;Plantas de combustión industrial;PM2,5;t;683.47
2012;Partículas;4,0;Procesos industriales sin combustión;PM2,5;t;65.64
2012;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PM2,5;t;0.00
2012;Partículas;6,0;Uso de disolventes y otros productos;PM2,5;t;215.87
2012;Partículas;7,0;Transporte por carretera;PM2,5;t;2008.52
2012;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PM2,5;t;394.56
2012;Partículas;9,0;Tratamiento y eliminación de residuos;PM2,5;t;366.10
2012;Partículas;10,0;Agricultura;PM2,5;t;25.87
2012;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PM2,5;t;367.22
2012;Partículas;1,0;Combustión en la producción y transformación de energía;PM10;t;102.19
2012;Partículas;2,0;Plantas de combustión no industrial;PM10;t;2646.71
2012;Partículas;3,0;Plantas de combustión industrial;PM10;t;722.67
2012;Partículas;4,0;Procesos industriales sin combustión;PM10;t;563.45
2012;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PM10;t;0.00
2012;Partículas;6,0;Uso de disolventes y otros productos;PM10;t;242.46
2012;Partículas;7,0;Transporte por carretera;PM10;t;2549.92
2012;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PM10;t;395.14
2012;Partículas;9,0;Tratamiento y eliminación de residuos;PM10;t;376.85
2012;Partículas;10,0;Agricultura;PM10;t;413.89
2012;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PM10;t;448.82
2012;Partículas;1,0;Combustión en la producción y transformación de energía;PST;t;121.66
2012;Partículas;2,0;Plantas de combustión no industrial;PST;t;2922.24
2012;Partículas;3,0;Plantas de combustión industrial;PST;t;765.08
2012;Partículas;4,0;Procesos industriales sin combustión;PST;t;1166.78
2012;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PST;t;0.00
2012;Partículas;6,0;Uso de disolventes y otros productos;PST;t;247.96
2012;Partículas;7,0;Transporte por carretera;PST;t;3232.70
2012;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PST;t;395.85
2012;Partículas;9,0;Tratamiento y eliminación de residuos;PST;t;382.84
2012;Partículas;10,0;Agricultura;PST;t;561.58
2012;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PST;t;693.63
2012;Partículas;1,0;Combustión en la producción y transformación de energía;BC;t;5.37
2012;Partículas;2,0;Plantas de combustión no industrial;BC;t;302.37
2012;Partículas;3,0;Plantas de combustión industrial;BC;t;191.59
2012;Partículas;4,0;Procesos industriales sin combustión;BC;t;0.17
2012;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BC;t;0.00
2012;Partículas;6,0;Uso de disolventes y otros productos;BC;t;84.19
2012;Partículas;7,0;Transporte por carretera;BC;t;1138.65
2012;Partículas;8,0;Otros modos de transporte y maquinaria móvil;BC;t;198.02
2012;Partículas;9,0;Tratamiento y eliminación de residuos;BC;t;94.05
2012;Partículas;10,0;Agricultura;BC;t;0.00
2012;Partículas;11,0;Otras fuentes y sumideros (naturaleza);BC;t;33.05
2012;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;HCB;kg;0.00
2012;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;HCB;kg;0.02
2012;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;HCB;kg;0.02
2012;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;HCB;kg;0.00
2012;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;HCB;kg;0.00
2012;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;HCB;kg;0.00
2012;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;HCB;kg;0.00
2012;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;HCB;kg;0.00
2012;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;HCB;kg;0.01
2012;Contaminantes orgánicos persistentes;10,0;Agricultura;HCB;kg;0.09
2012;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);HCB;kg;0.00
2012;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;DIOX;g;0.07
2012;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;DIOX;g;2.86
2012;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;DIOX;g;0.48
2012;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;DIOX;g;0.88
2012;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;DIOX;g;0.00
2012;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;DIOX;g;0.00
2012;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;DIOX;g;1.78
2012;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;DIOX;g;0.00
2012;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;DIOX;g;2.57
2012;Contaminantes orgánicos persistentes;10,0;Agricultura;DIOX;g;0.00
2012;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);DIOX;g;0.00
2012;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;BENZO (a);kg;6.49
2012;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;BENZO (a);kg;810.86
2012;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;BENZO (a);kg;43.12
2012;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;BENZO (a);kg;0.00
2012;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BENZO (a);kg;0.00
2012;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;BENZO (a);kg;0.96
2012;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;BENZO (a);kg;55.86
2012;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;BENZO (a);kg;1.54
2012;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;BENZO (a);kg;0.21
2012;Contaminantes orgánicos persistentes;10,0;Agricultura;BENZO (a);kg;0.00
2012;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);BENZO (a);kg;0.00
2012;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;BENZO (b);kg;10.39
2012;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;BENZO (b);kg;767.42
2012;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;BENZO (b);kg;69.03
2012;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;BENZO (b);kg;0.00
2012;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BENZO (b);kg;0.00
2012;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;BENZO (b);kg;0.41
2012;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;BENZO (b);kg;72.21
2012;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;BENZO (b);kg;2.53
2012;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;BENZO (b);kg;0.39
2012;Contaminantes orgánicos persistentes;10,0;Agricultura;BENZO (b);kg;0.00
2012;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);BENZO (b);kg;0.00
2012;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;BENZO (k);kg;3.25
2012;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;BENZO (k);kg;302.48
2012;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;BENZO (k);kg;22.49
2012;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;BENZO (k);kg;0.00
2012;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BENZO (k);kg;0.00
2012;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;BENZO (k);kg;0.41
2012;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;BENZO (k);kg;60.32
2012;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;BENZO (k);kg;1.75
2012;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;BENZO (k);kg;0.87
2012;Contaminantes orgánicos persistentes;10,0;Agricultura;BENZO (k);kg;0.00
2012;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);BENZO (k);kg;0.00
2012;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;INDENO;kg;2.60
2012;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;INDENO;kg;384.25
2012;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;INDENO;kg;18.01
2012;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;INDENO;kg;0.00
2012;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;INDENO;kg;0.00
2012;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;INDENO;kg;0.41
2012;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;INDENO;kg;54.18
2012;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;INDENO;kg;6.98
2012;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;INDENO;kg;0.00
2012;Contaminantes orgánicos persistentes;10,0;Agricultura;INDENO;kg;0.00
2012;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);INDENO;kg;0.00
2012;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;HAP;kg;22.73
2012;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;HAP;kg;2265.02
2012;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;HAP;kg;152.66
2012;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;HAP;kg;95.48
2012;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;HAP;kg;0.00
2012;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;HAP;kg;2.19
2012;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;HAP;kg;242.57
2012;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;HAP;kg;12.80
2012;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;HAP;kg;1.47
2012;Contaminantes orgánicos persistentes;10,0;Agricultura;HAP;kg;0.00
2012;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);HAP;kg;0.00
2012;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;PCB;kg;0.00
2012;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;PCB;kg;0.27
2012;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;PCB;kg;0.03
2012;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;PCB;kg;0.50
2012;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PCB;kg;0.00
2012;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;PCB;kg;0.00
2012;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;PCB;kg;0.36
2012;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;PCB;kg;0.00
2012;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;PCB;kg;0.01
2012;Contaminantes orgánicos persistentes;10,0;Agricultura;PCB;kg;0.00
2012;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);PCB;kg;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;SOx;t;8.33
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;SOx;t;5053.52
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;SOx;t;1962.94
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;SOx;t;30.28
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;SOx;t;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;SOx;t;2.05
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;SOx;t;41.40
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;SOx;t;1928.93
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;SOx;t;11.06
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;SOx;t;0.08
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);SOx;t;1.71
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;NOx;t;532.74
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;NOx;t;6780.73
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;NOx;t;6118.96
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;NOx;t;65.61
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;NOx;t;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;NOx;t;33.51
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;NOx;t;39002.25
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;NOx;t;36192.45
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;NOx;t;419.28
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;NOx;t;752.91
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);NOx;t;7.89
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;COVNM;t;53.03
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;COVNM;t;2062.38
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;COVNM;t;1612.20
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;COVNM;t;1295.57
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;COVNM;t;617.50
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;COVNM;t;31357.39
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;COVNM;t;6989.30
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;COVNM;t;916.78
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;COVNM;t;580.67
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;COVNM;t;1265.87
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);COVNM;t;20.82
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;CH4;t;296.61
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;CH4;t;3418.34
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;CH4;t;2503.82
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;CH4;t;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;CH4;t;580.84
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;CH4;t;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;CH4;t;786.18
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;CH4;t;45.14
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;CH4;t;63402.50
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;CH4;t;7891.58
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);CH4;t;10.38
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;CO;t;702.40
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;CO;t;23778.08
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;CO;t;5410.43
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;CO;t;858.36
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;CO;t;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;CO;t;1025.29
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;CO;t;59968.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;CO;t;6808.19
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;CO;t;2429.26
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;CO;t;10.46
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);CO;t;227.41
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;CO2;kt;154.41
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;CO2;kt;6681.47
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;CO2;kt;2541.12
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;CO2;kt;594.23
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;CO2;kt;0.01
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;CO2;kt;57.60
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;CO2;kt;10461.31
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;CO2;kt;7110.38
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;CO2;kt;149.84
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;CO2;kt;3.08
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);CO2;kt;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;N2O;t;4.53
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;N2O;t;42.35
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;N2O;t;33.42
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;N2O;t;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;N2O;t;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;N2O;t;272.01
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;N2O;t;338.29
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;N2O;t;195.28
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;N2O;t;463.78
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;N2O;t;411.27
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);N2O;t;7.69
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;NH3;t;25.85
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;NH3;t;241.91
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;NH3;t;136.98
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;NH3;t;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;NH3;t;0.00
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;NH3;t;83.94
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;NH3;t;699.86
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;NH3;t;0.50
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;NH3;t;317.90
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;NH3;t;3604.55
2011;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);NH3;t;1.79
